'1AVStreamer '		'80, 8070 '	'80, 8070 '
'1st SMTP Server '		25	' '
'3-In-A-Bed '		4871	4871
'3CX '		'5060, 5090 '	'5060, 9000-9015 '
'Access Remote PC '		34012	34012
'Act of War - Direct Action '		' '	12222
'Action PC Football 2006 '		'1451-1454, 32019 '	' '
'Action PC Football 2010 '		32019	' '
'Active Worlds '		'3000, 5670, 7777, 7000-7100 '	' '
'Active Worlds File Transfer '		3000	' '
'Age of Conan '		'6881-6889 '	'6881-6889 '
'Age of Empires '		'2300-2400, 47624 '	'6073, 2300-2400 '
'Age of Empires II '		'2300-2400, 47624 '	'2300-2400 '
'Age of Empires III '		'80, 2300 '	'2300-2310 '
'Age of Mythology '		'28800-28805 '	'2300-2400, 6073 '
'AIM Talk '		5190	' '
'AIM Video IM '		'443, 1024-5000, 5190 '	'443, 1024-5000, 5190 '
'Aion '		'80, 2106, 7777, 10241 '	' '
'Air Cam Live '		1726	' '
'Air TV '		1728	' '
'Air Video '		45631	' '
'Airlink101 SkyIPCam777W '		'80, 554 '	' '
'Aleph One '		4226	'4226, 15367 '
'Alien Vs Predator 2 '		'2300-2400, 7000-10000 '	'27888-27900 '
'Alien Vs Predator 2 Primal Hunt '		'2300-2400, 7000-10000 '	'27888-27900 '
'Aliens vs Predator '		'80, 2300-2400, 8000-8999 '	'80, 2300-2400, 8000-8999 '
'All.com '		'10000-10015 '	'10000-10015 '
'Alpha Centauri '		'2300-2400, 47624 '	'2300-2400 '
'Americas Army '		'14200, 20025-20048 '	'1716-1718, 8777, 27900 '
'Amplitude '		'10070-10080 '	10070
'Anarchy Online BETA '		'7013, 7500-7501 '	'7013, 7500-7501 '
'Apache '		'80, 443 '	' '
'APB '		'80, 443, 2106, 3720 '	'3478, 3479, 3722-3730, 5060, 5062, 12000-17000 '
'Apple Remote Desktop '		'3283, 5900, 5988 '	3283
'Apprentice '		4747	' '
'Arcanum '		'15101, 15204, 15300, 15800, 20851, 31435 '	31435
'Arcanum Won.net '		'15101, 15200, 15204, 15300, 15500, 15800, 20851, 26901-26999, 28901-28999, 31435 '	31435
'Army of Two 360 '		'53, 80, 3074 '	'53, 88, 3074 '
'Army of Two PS3 '		6000	3658
'Asherons Call '		' '	'9000-9013 '
'ATC Battlefield 1942 '		30	30
'ATC Battlefield 2 '		3333	3333
'ATC Ghost Recon 2 '		30	30
'ATC Rainbow Six Lockdown '		3333	3333
'ATC Splinter Cell Chaos Theory '		30	30
'ATC Splinter Cell Pandora Tomorrow '		30	30
'ATT Remote Monitor '		80	80
'Audiogalaxy Satellite '		'1117-5190, 41000-50000 '	' '
'AudioReQuest '		'22, 57, 80, 3660, 3663, 4665 '	'22, 57, 80, 3660, 3663, 4665 '
'Auto Assault '		2106	'26880, 27001-27009, 27010 '
'AVer '		'53, 80, 1053, 5550, 5555, 9999 '	' '
'Axis 207MW '		80	' '
'Axis M1031-W '		80	' '
'BAckNBiz '		44490	44490
'BackupStream '		44488	44488
'Baldurs Gate I and II '		'2300-2400, 6073 '	'2300-2400, 6073 '
'BarracudaDrive '		'80, 443 '	' '
'Battle Realms-Ubisoft '		' '	'7174, 7175, 7177 '
'Battlecom '		'2300-2400, 47624 '	'6073, 2300-2400, 47624 '
'Battlefield 1942 '		' '	'14567, 14690, 23000-23009 '
'Battlefield 2 '		'80, 4711, 18060, 28910, 29900-29901, 29920 '	'1500-4999, 16567, 18060, 27900-27901, 29900, 29910, 55123-55124, 55215 '
'Battlefield 2142 '		'80, 443, 1024-1124, 4711, 9960-9969, 17475, 18060, 18120, 18300, 18510, 27900, 28910, 29900 '	'1024-1124, 1500-4999, 9964, 16567, 18300, 18510, 27900-27901, 28910, 29900, 55123 '
'Battlefield Bad Company 2 '		'80, 13505, 18121, 18126, 18390, 18395 '	'10000, 18126, 18395 '
'Battlefield Heroes '		'80, 443, 18051, 18055, 18061, 18065, 18270, 18275 '	' '
'Battlefield Vietnam '		'4711, 14667, 28900 '	'15567, 15690, 4555-4557, 23000-23009, 27900 '
'Battlestations - Midway '		' '	'1042, 2302, 6500 '
'Bay VPN '		500	500
'Bell South Home Monitoring System '		2047	' '
'Beyond Remote '		'5424, 5425 '	'5424, 5425 '
'BitTornado '		'10000-10010 '	' '
'Black and White '		'2611-2612, 6500, 6667, 27900 '	'2611-2612, 6500, 6667, 27900 '
'BlackSite - Area 51 '		'6777, 7777-7797, 30660 '	'6777, 7777-7797, 30660 '
'Blazing Angels Online '		'3074-3075, 20100 '	'20001-20004, 20050, 20080 '
'Blizzard Battlenet '		'4000, 6112-6119 '	'4000, 6112-6119 '
'Blizzard Downloader '		'1119-1120, 3724, 4000, 6112-6114, 6881-6999 '	' '
'Blockland '		'28000-28030 '	'28000-28030 '
'Blue Iris '		'80-81 '	' '
'Blueserver '		'6112-6119 '	'6112-6119 '
'Bomberman Online '		' '	'8864-8870 '
'Borderlands '		'7777, 28900, 28902, 28910 '	'7777, 27900, 28902 '
'Bridge Commander '		'22101, 28900 '	'22101, 28900 '
'BroadCam Video Streaming Server '		86	' '
'BroadWave Streaming Audio Server '		88	' '
'Brothers in Arms - Road to Hill 30 '		'40000-43000 '	'44000, 45000, 45001 '
'Brothers in Arms Online '		'40000-43000 '	'44000, 45000-45001 '
'Brothers in Arms-Earned in Blood '		'40000-43000 '	'44000, 45000-45001 '
'BT Communicator '		' '	'2000-2021, 5050-5070 '
'BT Homesafe '		80	80
'Bubba Server '		'20-22, 25, 80, 143, 443, 993 '	'22, 25, 143 '
'Buddy Phone '		' '	'700-701 '
'Buffalo TeraStation TS-XE4.0TL-R5 '		9000	9000
'Burnout Revenge '		'3658, 3659, 31800-31899 '	'3658, 3659, 10070, 10080 '
'Buzz 3D VideoChat '		10529	' '
'Caesar IV '		3306	' '
'Cal Ripkens Real Baseball '		' '	'20000-20010 '
'Calista IP Phone '		' '	3000
'Call of Duty '		28960	'20500, 20510, 28960 '
'Call of Duty - Black Ops '		'3074, 27014-27050 '	'3074, 3478-4380, 27000-27030 '
'Call of Duty - Modern Warfare 2 '		'27014-27050 '	'1500, 3005, 3101, 3478-4380, 27000-27030, 28960 '
'Call of Duty - World at War '		28960	'3074, 28960 '
'Call of Duty 2 '		28960	'20500, 20510, 28960 '
'Call of Duty 4 '		28960	28960
'Call of Duty-United Offensive '		28960	'20500, 20510, 20600, 20610, 28960 '
'Camerades '		'2047, 2048 '	'1971, 2047, 2048 '
'Camfrog '		6005	'5000-15000 '
'Campground Master '		6010	' '
'Camstreams '		5700	' '
'Canasis Canasta '		'23732-23733 '	' '
'CarbonCopy32 '		1680	'1023-1680 '
'Championship Manager 03-04 '		9094	9093
'Championship Manager 03-04 '		'9093-9094 '	'9093-9094 '
'Championship Manager 3 '		6667	6667
'Championship Manager 4 '		'9091-9092 '	'9091-9092 '
'Chessmaster 8000 '		'2300-2400, 47624 '	'2300-2400 '
'Chinavasion CVLM-i33 '		80	' '
'CITRIX '		'1023-5000 '	1604
'City of Heroes '		'2104, 2106, 6994 '	'7000-7100 '
'City of Villains '		'2104, 2106, 6994 '	'7000-7100 '
'Civilization 2 Multiplayer Gold Edition '		4993	4993
'Civilization III '		'3783, 6500, 6667, 28900, 29900, 29901 '	'2302-2400, 6500, 6515, 13139, 27900 '
'Civilization IV '		'2033, 2056, 3783, 6500, 6667, 28900, 29900, 29001 '	'2302-2400, 6500, 6515, 13139, 27900 '
'Clover CDR0850 '		5800	' '
'Colin McRae - DiRT '		' '	30002
'Command and Conquer 3 Kanes Wrath '		' '	'8088-65535 '
'Command and Conquer 3 Tiberian Wars '		'28910, 29900-29901 '	'13139, 27900, 65000 '
'Command and Conquer 4 - Tiberian Twilight '		'3840, 4005, 4808, 4810, 4995, 7000-7002 '	'1234-1237, 3478, 5009, 5060, 5062 '
'Command and Conquer Generals '		'80, 6667, 28910, 29900, 29920 '	'4321, 27900 '
'Command and Conquer Generals GameSpy '		'80, 3783, 6500, 6515, 6667, 13139, 27900, 28900, 28910, 29900, 29901, 29920 '	'4321, 27900 '
'Command and Conquer Red Alert '		'3840, 4005, 4808, 4810, 4995, 7000-7002 '	'1234-1237, 4000, 5400, 5009 '
'Command and Conquer Red Alert 2 '		'3840, 4005, 4808, 4810, 4995, 7000-7002 '	'1234-1237 '
'Command and Conquer Red Alert 2 Yuris Revenge '		'3840, 4005, 4808, 4810, 4995, 7000-7002 '	'1234-1237 '
'Command and Conquer Red Alert 3 '		'80, 3783, 4321, 6660-6669, 28900, 29900, 2901 '	'6515, 6500, 13139, 27900 '
'Command and Conquer Red Alert Aftermath '		'3840, 4005, 4808, 4810, 4995, 7000-7002 '	'1234-1237, 5009 '
'Command and Conquer Red Alert Counterstrike '		'3840, 4005, 4808, 4810, 4995, 7000-7002 '	'1234-1237, 5009 '
'Command and Conquer Renegade '		'3840, 4005, 4808, 4810, 4995, 7000-7002 '	'1234-1237 '
'Command and Conquer The Covert Operations '		'3840, 4005, 4808, 4810, 4995, 7000-7002 '	'1234-1237 '
'Command and Conquer Tiberian Dawn '		'3840, 4005, 4808, 4810, 4995, 7000-7002 '	'1234-1237, 5009 '
'Command and Conquer Tiberian Sun '		'3840, 4005, 4808, 4810, 4995, 7000-7002 '	'1234-1237, 4000, 5400 '
'Command and Conquer Tiberian Sun Firestorm '		'3840, 4005, 4808, 4810, 4995, 7000-7002 '	'1234-1237, 4000, 5400 '
'Command and Conquer Zero Hour '		'80, 6667, 28910, 29900, 29920 '	'4321, 27900 '
'Command and Conquer Zero Hour GameSpy '		'80, 3783, 6500, 6515, 6667, 13139, 27900, 28900, 28910, 29900, 29901, 29920 '	'4321, 27900 '
'Company of Heroes '		' '	'6112, 30260, 9100 '
'Conquest Frontier Wars '		'2300-2400, 47624 '	'2300-2400, 47624 '
'Cossacks '		'2300-2400, 47624 '	'2300-2400 '
'Cossacks II '		'2300-2400, 6667, 47624 '	'80, 2300-2400, 3783, 13139, 27900, 28900, 29900-29901, 34000-34005 '
'Counter Strike '		'27020-27039 '	'1200, 27000-27015 '
'CQPhone '		'24960-24962 '	'24960-24962 '
'Crackle '		8038	8038
'Crysis '		'80, 443, 6667, 28910, 29900-29901 '	'27900-27901, 29910, 64087 '
'Crysis Wars '		'80, 443, 6667, 28910, 29900-29901 '	'27900-27901, 29910, 64087 '
'Cu-SeeMe Cornell '		' '	7648
'Cu-SeeMe White Pine '		' '	'7648, 24032 '
'CUseeMe-CUworld '		'1503, 1720, 5222, 5223, 7640, 7642, 7648, 7649 '	'1414, 1424, 1812, 1813, 7648, 24032, 56800 '
'D-Link DCS-3420 '		80	'5002, 5003 '
'D-Link DCS-5300G '		'80, 5001-5003 '	'80, 5001-5003 '
'D-Link DCS-920 '		80	' '
'Dark Ages of Camelot '		'1280, 10500, 10622 '	'1024-65535 '
'Dark and Light '		'6666, 20013 '	'6666, 20013 '
'Dark Messiah of Might and Magic Steam Client '		'27014-27050 '	'4380, 27000-27030 '
'Dark Reign 2 '		'3100, 3568, 3999, 26214 '	'3100, 3568, 3999, 26214 '
'Dartpro '		47141	47141
'Dawn of War Host '		' '	6112
'Day of Defeat Source '		'27020-27039 '	'1200, 27000-27015 '
'DCS Black Shark '		10308	10308
'DD Tournament Poker '		'11885-11889 '	'11885-11889 '
'Dead Rising 2 '		'53, 80, 443, 3074 '	'53, 88, 3074 '
'Dedicated Micros DS2 '		80	'21, 80, 8234, 8235 '
'Deer Hunter 2005 '		23458	' '
'Defcon '		' '	'5008-5011 '
'Defender SENTINEL11 '		'67, 68, 80 '	' '
'Defender SN300-4CH-001 '		80	' '
'Defender SN500-4CH '		80	' '
'Defender SN500-4CH-002 '		80	' '
'Defender SN502-4CH-002 '		'80, 9000 '	'80, 9000 '
'Delta Force '		'3100, 3999 '	'3100, 3999 '
'Delta Force 2 '		' '	'3568, 3569 '
'Delta Force Black Hawk Down '		' '	17479
'Delta Three PC to Phone '		'12053, 12083 '	'12080, 12120, 12122, 24150-24179 '
'Destroyer Command '		3000	3000
'Diablo '		'6112-6119 '	'6112-6119 '
'DiabloII '		'4000, 6112 '	'6112-6119 '
'Dialpad '		'1584, 1585, 51210 '	'51200, 51201 '
'Diamond Mind Baseball '		32158	' '
'Digi-Watcher '		5003	5003
'DINA DVR Server '		5000	' '
'DINA RMC '		'1099, 5000-5001, 8080 '	' '
'DirectX 7 '		'2300-2400, 47624 '	'2300-2400 '
'DirectX 8 '		' '	'2302-2400, 6073 '
'DirectX 8.1 '		' '	'2302-2400, 6073 '
'DMW Scanner '		'25120, 25123 '	'25120, 25123 '
'DNS2Go '		1227	1227
'Doom 3 '		'27650, 27666 '	'27650, 27666 '
'DOT.TUNES '		'9990-9999 '	' '
'Dream Match Tennis '		2319	2319
'Dues Ex '		'7790-7792, 8777 '	'7790-7792, 8777, 27900 '
'Dune 2000 '		'1140-1234, 4000 '	'1140-1234, 4000 '
'Dune2000 '		'3840, 4005, 4808, 4810, 4995, 7000-7002 '	'1234-1237 '
'Dungeon Siege '		' '	'2300-2400, 6073 '
'Dungeon Siege II '		' '	'2300-2400, 6073 '
'Dungeons + Dragons Online '		80	'2900-2910, 9000-9010 '
'Dwyco Video Conferencing '		'1024-5000, 6700-6702, 6880 '	'12000-16090 '
'DynGate '		'80, 5938 '	' '
'EA Download Manager '		'80, 443, 1024-1124, 9960-9969, 18000, 18120, 18060, 27900, 28910, 29900 '	'1024-1124, 18000, 29900 '
'Earth 2160 '		' '	'17771, 17172 '
'Echolink '		5200	'5198, 5199 '
'echoServer '		1328	' '
'Eclipse '		4000	4000
'Edimax IC1510Wg '		'80, 4321 '	' '
'eJAMMING AUDiiO '		' '	26900
'eJamming Station '		26900	26900
'Ekiga '		' '	'3478, 5000-5100 '
'Elite Force '		'26000, 27500, 27910, 27960 '	'26000, 27500, 27910, 27960 '
'Emperor Battle for Dune '		'3840, 4005, 4808, 4810, 4995, 7000-7002 '	'1234-1237 '
'Emperor Rise of the Middle Kingdom '		'15101, 15200, 15300, 15800, 20941, 25332-25333 '	25332
'Empire - Total War '		'27015, 49181 '	' '
'Empire Earth '		'33335-33336 '	33334
'Empire Earth 2 '		26000	26000
'Empire Earth The Art of Conquest Expansion '		'33335-33336 '	33334
'Empires Dawn of the Modern World '		'6500, 28900, 29900-29901, 33335 '	'13139, 27900, 33321 '
'Enemy Engaged 2 '		'2300-2400, 47624 '	'2300-2400 '
'Enemy Engaged Comanche vs. Hokum '		'2300-2400, 47624 '	'2300-2400, 47624 '
'Enemy Engaged Comanche vs. Hokum 2 '		'2300-2400, 47624 '	'2300-2400, 47624 '
'Enemy Territory - Quake Wars '		' '	'3074, 27733, 33060-33070 '
'EQOA '		' '	'10070-10080 '
'Europa Universalis III '		' '	'1630-1636 '
'Everquest '		'1024, 7000 '	'1024, 6000 '
'Everquest 2 '		'7000, 7010 '	'3016-3021, 9700-9703, 9100, 32800-33000 '
'Everquest Online Adventures '		'5190, 10000, 11000 '	'10000, 11000 '
'Evertech '		5001	5001
'Evil Islands '		8888	8888
'EvoCam '		8080	8080
'Express Invoice '		96	96
'Exteel '		'15152, 21964 '	' '
'Eyeon '		80	9001
'F-16 Mig 29 '		' '	'3862, 3863 '
'F-22 Lightning 3 '		' '	'3875, 4533, 4534, 4660-4670 '
'F-22 Raptor '		' '	'3874, 3875 '
'F.E.A.R. '		27888	27888
'F.E.A.R. Gamespy '		'3783, 6500, 6667, 28900, 29900-29901 '	'6515, 13139, 27900 '
'F1 Challenge 99-02 '		34447	'17677, 34297, 34397 '
'Faces of War '		'6667, 28910 '	'3210, 27900 '
'Falco LX-4PRO '		'67, 68, 80 '	' '
'Falcon 4 '		'2934, 2935 '	'2934, 2935 '
'Far Cry '		'49001-49002 '	'49001-49002, 49124 '
'Farming-Simulator '		10823	10823
'FastTrack '		1214	1214
'FIFA 09 PS3 '		'80, 9980-9989, 12400-12499, 30400-30499 '	'3659, 9570, 9808-9811, 9858-9861 '
'FIFA 2004 '		' '	3658
'FIFA 2005 '		' '	3658
'FIFA 2006 '		' '	3658
'FIFA 2007 '		'10400-10499 '	3658
'Fighter Ace II '		'2300-2400, 47624, 50000-50100 '	'2300-2400, 50000-50100 '
'Fighter Ace II DX '		'2300-2400, 47624, 50000-50100 '	'2300-2400, 47624, 50000-50100 '
'FileMaker Pro '		5003	5003
'FileMaker Pro 3 '		5003	5003
'FileMaker Pro 4 '		5003	5003
'FileMaker Pro 5 '		5003	5003
'FileMaker Server 3 '		5003	5003
'FileMaker Server 5 '		5003	5003
'FileMaker Server 7 '		'5003, 50003, 50006 '	5003
'FileMaker Server 8 '		'5003, 50003, 50006 '	5003
'FileTopia '		443	443
'Final Fantasy XI - PC '		'25, 80, 110, 443, 50000-65535 '	'50000-65535 '
'Final Fantasy XI - PS2 '		'1024-65535 '	'50000-65535 '
'Flatcast '		' '	40123
'Flatout 2 '		' '	23756
'Flight Simulator 2000 '		' '	'2300-2400, 6073, 23456 '
'Flight Simulator 2002 '		' '	'2300-2400, 6073, 23456 '
'Flight Simulator 2004 '		' '	'2300-2400, 6073, 23456 '
'Flight Simulator X '		' '	'2300-2400, 6073, 23456 '
'Football Manager 2005 '		'10093-10094 '	'10093-10094 '
'Football Manager 2006 '		'10093-10094 '	'10093-10094 '
'Football Manager Live '		'9920, 9995-9999 '	'9920, 9995-9999 '
'Foscam FI8908W '		80	' '
'Freelancer Server '		' '	'2300-2400 '
'Frequency '		'10070, 10080 '	10070
'Freshtel Internet Phone '		' '	'4569, 5070 '
'FSHost '		'80, 47624 '	'6073, 23456, 2300-2400 '
'FSHostClient '		'80, 47624 '	'6073, 23456, 2300-2400 '
'FTP '		21	' '
'Gadspot IP Camera '		80	' '
'Gameday Payoff '		23210	23210
'Games for Windows - LIVE '		'53, 80, 443, 3074 '	'53, 88, 3074 '
'Gamespy '		' '	8871
'GameSpy Arcade '		'6667, 3783, 27900, 28900, 29900, 29901, 13139, 6515, 6500 '	' '
'Gamespy Tunnel '		' '	'6500, 6700 '
'GeoVision CenterV2 '		'5546-5549 '	' '
'GeoVision DispatchServer '		21112	' '
'GeoVision DMIP '		21	' '
'GeoVision RemotePlayBack '		5066	' '
'GeoVision RemoteView '		3550	' '
'GeoVision SMS '		6886	' '
