'1AVStreamer '		'80, 8070 '	'80, 8070 '
'GeoVision TwinDVR with Webcam '		'21, 80, 3389, 4550, 5550, 6550, 9650 '	' '
'GeoVision TwinServer '		9650	' '
'GeoVision Vital Sign Monitor '		5610	' '
'GeoVision Webcam '		'21, 80, 3389, 4550, 5550, 6550 '	' '
'Ghost Recon '		'2346-2348 '	'2346-2348 '
'Giants Citizen Kabuto '		19712	19712
'GigaTribe '		3728	' '
'Gizmo Project '		' '	'5004-5005, 64064 '
'GNUnet '		'1080, 2086 '	'1080, 2086 '
'GNUtella '		6346	6346
'Go2Call '		2090	'2090, 2091 '
'Goldeneye Rogue Agent '		'13505, 21600-21699 '	'3658, 3659, 6000 '
'Graboid Video '		'119, 11234 '	' '
'Grand Theft Auto 2 Multiplayer '		'2300-2400, 47624 '	'2300-2400, 47624 '
'Ground Control '		'15001, 15101, 15200, 20000-21000, 25451 '	'20000-21000 '
'Ground Control with Chat Rooms '		'15001, 15101, 15200, 20000-21000, 25000-25499 '	'20000-21000 '
'GTA Rumble '		' '	2020
'GTR FIA GT Racing Game '		'34347, 34349 '	'34297-34300 '
'Guild Wars '		'80, 6112 '	' '
'GunZ '		'7700-7800 '	'7700-7800 '
'H.323 Call Setup '		1720	' '
'H.323 GateKeeper '		'1718-1720 '	' '
'H323 '		'1023, 1502, 1503, 1504, 1730, 1731, 1732, 65534 '	'1024, 65534 '
'HAI Home Automation '		4369	4369
'Half Life '		' '	'6003, 7002, 27010, 27015, 27025 '
'Half Life 2 Steam '		'27014-27050 '	'4380, 27000-27030 '
'Half Life 2 Steam Server '		'27014-27050 '	'4380, 27000-27030 '
'Half Life Steam '		'27014-27050 '	'4380, 27000-27030 '
'Half Life Steam Server '		'27014-27050 '	'4380, 27000-27030 '
'Halo '		80	'2302, 2303 '
'Heretic II '		28910	28910
'Hero Online '		'6667, 18067 '	'6667, 18067 '
'Heroes of Might and Magic 5 '		'6668, 40000-42999 '	'8888, 42500, 44000, 45000 '
'Hexen II '		26900	26900
'Homeworld '		'15000-15300, 21000-21999, 30000-30999 '	'15400-15401 '
'Homeworld Cataclysm '		'23335-23336 '	' '
'Hotline Server '		'5500-5503 '	5499
'HoverRace '		'9530, 9531 '	'9530, 9531 '
'Hoyle Online Games '		'15101, 15200, 15500, 26901-26999, 28901-28999 '	' '
'HP MediaSmart Server EX495 '		'80, 139, 443, 445, 1138, 2869, 3389, 4125, 8912, 55000, 56000 '	'137, 138, 1900, 8912, 10243, 10280, 10281, 10282, 10283, 10284 '
'HTTP '	'Server'	80	' '
'HTTPS '	'Server'	443	' '
'I2Eye DVC-1000-DVC-1100 '		'1720, 15328-15333 '	'15328-15333 '
'I2P '		8887	' '
'Icecast '		'8000-8001 '	' '
'iChat '		'5190, 5220, 5222, 5298 '	'5060, 5190, 5297, 5298, 5353, 5678, 16384-16403 '
'IConnectHere '		'5060-5065, 5723, 16384-16400 '	'5060-5065, 5723, 16384-16400 '
'ICQ '		'20000-20019 '	' '
'ICUII '		'2000-2001, 2038, 2050, 2051, 2069, 2085, 3010, 3030 '	' '
'ICUII Client Version 4 '		'1024-5000, 6700-6702, 6880 '	'12000-16090 '
'iGet '		22	22
'IL-2 '		' '	21000
'IL-2 Sturmovik - Forgotten Battles '		21000	21000
'IL2-Sturmovik '		21000	' '
'IL2-Sturmovik Ubi.com '		'80, 6667, 21000, 40000-42000 '	' '
'Imap '		143	143
'inSpeak Communicator '		'5858, 8085, 8585, 7979 '	'8085, 8585 '
'Internet Phone '		' '	22555
'Inventoria Stock Manager '		97	97
'IPContact '		'1720, 2500, 5901, 1766-1767 '	'1734-1765 '
'IPlay '		'4990-4999 '	'4990-4999 '
'IRLP - Internet Radio Linking Project '		15425	'2074-2093 '
'iSpQ VideoChat '		'2000-2002 '	' '
'IStreamVideo2HP '		'8076-8077 '	'8076-8077 '
'iTalkBB '		' '	'5060, 6802, 16384-16482 '
'iTunes '		3689	' '
'ivisit '		' '	9940
'Janes F-18 '		'2234, 2300-2400, 47624 '	'2300-2400 '
'JetCast '		'9000-9001, 9010 '	' '
'Joint Operations Typhoon Rising '		' '	32768
'Joint Task Force '		7901	' '
'Jumi Controller '		5720	5720
'KALI '		'2213, 6666 '	'2213, 6666 '
'Kane and Lynch - Dead Men '		' '	'6073, 6500, 6515 '
'KaZaA '		1214	' '
'KDX Server '		10700	' '
'KGuard KG-CMS3000 '		80	' '
'KGuard KG-NVR300 '		'1111, 2222, 8080 '	' '
'KGuard KG-SH DVRs '		'67, 68, 80 '	' '
'KGuard KG-SH122E '		'67, 68, 80 '	' '
'KGuard KG-SH322 '		'67, 68, 80 '	' '
'KGuard KG-SH522 '		'67, 68, 80 '	' '
'KGuard KG-SHA DVRs '		'80, 9000 '	' '
'KGuard KG-SHA104 '		'80, 9000 '	' '
'KGuard KG-SHA104.V2 '		'80, 9000 '	' '
'KGuard KG-SHA108 '		'80, 9000 '	' '
'KGuard KG-SHA108.V2 '		'80, 9000 '	' '
'KGuard KG-SHA116 '		'80, 9000 '	' '
'KGuard KG-SHA116.V2 '		'80, 9000 '	' '
'Killing Floor '		'8075, 28852 '	'7707, 7708, 7717, 20560 '
'Kohan Immortal Sovereigns '		'3855, 17437 '	'3855, 17437 '
'L2J '		'80, 2106, 7777 '	'2106, 7777 '
'LaCiE HipServ '		'21, 22, 80, 443 '	' '
'Laplink '		1547	1547
'LapLink Sharedirect '		2705	2705
'League of Legends '		'80, 443, 2099, 5222, 5223, 8393 '	'5000-5200 '
'Left 4 Dead '		'27014-27050 '	'4380, 27000-27030 '
'Left 4 Dead 2 '		'27014-27050 '	'4380, 27000-27030 '
'LEGO Universe '		'80, 443 '	'1001, 2001-2200 '
'LieroXtreme '		23400	23400
'Lineage '		'2000, 2003 '	' '
'Lineage II '		'80, 2106, 2009, 7777 '	53
'Lingo VoIP '		' '	'1024-1030, 5060-5065, 10000-20000 '
'Links '		'2300-2400, 47624 '	'2300-2400, 6073 '
'Linksys WVC80N '		'80, 1024 '	'80, 1024 '
'Live For Speed Server '		'29339, 63392 '	'29339, 63392 '
'LIVvE '		' '	8999
'LocationFree '		5021	' '
'Lock On '		10308	10308
'Lock On Modern Air Combat '		10308	' '
'Lock On Modern Air Combat Ubi.com '		'80, 6667, 10308, 40000-42000 '	' '
'LogMeIn Hamachi2 '		'12975, 32976 '	17771
'Lord of the Rings Battle for Middle Earth '		' '	'8088-28088 '
'Lord of the Rings Battle Of Middle Earth II '		' '	'8088-65535 '
'Lord of the Rings Online '		80	'2900-2910, 9000-9010 '
'Lorex IP Surveillance '		80	' '
'Lost Planet - Extreme Condition '		' '	'3075, 27215 '
'Lotus Notes '		1352	1352
'Madden NFL 07 '		' '	'1795, 1797 '
'Madden NFL 2005 '		13505	'1795, 1797, 3658, 6000 '
'Madden NFL 2006 '		' '	'1795, 1797 '
'Mage Knight Apocalypse '		28900	6500
'Magicjack '		' '	'5060, 5070 '
'Market Analyst Software '		14010	' '
'Marvel Ultimate Alliance '		'1116-1130, 28910 '	'1116-1130, 5165, 27900-27901 '
'MechCommander 2 '		'2300-2400, 47624 '	'2300-2400 '
'Mechwarrior 4 - Black Night '		'2300-2400, 47624, 27999, 28800-28809 '	'2300-2400, 27999, 28800-28809 '
'Mechwarrior 4 - Mercenaries '		'2300-2400, 47624, 27999, 28800-28809 '	'2300-2400, 27999, 28800-28809 '
'Mechwarrior 4 - Vengeance '		'2300-2400, 47624, 27999, 28800-28809 '	'2300-2400, 27999, 28800-28809 '
'Medal of Honor '		' '	'12203-12218, 12300, 23000-23009 '
'Medal of honor Pacific Assault '		' '	13203
'Medal of Honor Rising Sun '		'3658, 3659, 6000, 6001 '	'443, 13505 '
'Medieval - Total War '		18321	18321
'Medieval II - Total War '		27750	27750
'Metal Gear Solid 3 Subsistence '		' '	5730
'Microsofts Flight Simulator X '		' '	'2300-2400, 6073, 23456 '
'Minecraft Server '		25565	25565
'mIRC Auth-IdentD '		113	113
'mIRC Chat '		'6660-6669 '	' '
'mIRC DCC - IRC DCC '		'1024-5000 '	' '
'MIX Game Server '		24000	' '
'MOHAA Counter Intelligence '		' '	'670, 672 '
'MOHAA MatchWatch '		'950, 5500-5699, 13000-14000 '	640
'MOHAA Missionary '		' '	12203
'MOHAA Reverend '		'5500-5699 '	' '
'Monsoon Vulkano '		'49177, 56123 '	56123
'Moove '		'9793, 9795 '	' '
'Motorhead Server '		'16000, 16010-16030 '	'16000, 16010-16030 '
'MSN Game Zone '		'6667, 28800-29000 '	'6667, 28800-29000 '
'MSN Game Zone DX '		'2300-2400, 47624 '	'2300-2400 '
'MSN Messenger '		'1863, 6891-6900, 6901 '	'1863, 5190, 6901 '
'MTA SA R1.0 '		' '	'22003, 44003, 22126 '
'Mu Online '		'44405, 55901 '	55901
'Multi Theft Auto '		20031	20031
'MultiTheftAuto '		2003	2003
'MVP Baseball 2005 '		'80, 13505, 30900-30999 '	10001
'MY-IPCAM Anywhere '		9010	' '
'MY-IPTV Anywhere '		'9401-9402 '	' '
'MyDiskServer '		'8088-8089 '	' '
'MySQL Server '		3306	3306
'Mystic Island '		'2170, 2181, 2191 '	'2170, 2181, 2191 '
'Myth '		3453	3453
'Myth Myth II '		3453	3453
'MythTV '		80	' '
'MyXerver MX3600 '		80	' '
'Napoleon - Total War '		'4380, 49181, 27000-27050 '	'4380, 49181, 27000-27050 '
'Napster '		6699	' '
'NASCAR Racing 2003 Season '		' '	'32766-32809 '
'NASCAR SimRacing '		' '	'22444-22643 '
'NBA Live 2004 '		' '	3658
'NBA Live 2005 '		' '	3658
'NBA Live 2006 '		' '	'3658, 18699-28600 '
'NBA Live 2007 '		' '	'3658, 9570 '
'NCAA 07 Football '		3074	'88, 3074 '
'Need for Speed '		9442	9442
'Need for Speed - Porsche '		' '	9442
'Need for Speed 3 '		1030	1030
'Need for Speed Carbon '		'80, 18210, 18215, 13505, 30900-30999 '	3658
'Need for Speed Hot Pursuit 2 '		'80, 8511, 28900 '	'1230, 8512, 27900, 61220-61230 '
'Need for Speed Most Wanted '		'80, 13505, 30900-30999 '	3658
'Need for Speed Underground '		' '	'3658, 3659 '
'Need for Speed Underground 2 '		' '	'3658, 3659 '
'Nesticle '		6996	' '
'Net2Phone '		' '	6801
'Netflix '		'80, 443 '	' '
'NetFone '		10200	' '
'NetMeeting 2.0 through 3.01 '		'522, 389, 1503, 1720, 1731 '	'1024-65535 '
'NetMeeting with H323 '		'1023, 1502, 1503, 1504, 1730, 1731, 1732, 65534 '	'1024, 65534 '
'Networdz '		22	22
'NetX Command Center '		10001	' '
'Neverwinter Nights '		' '	'5120-5300, 6500, 6667, 27900, 28900 '
'Neverwinter Nights 2 '		' '	'5120-5300 '
'NHL 2004 '		'10300, 13505 '	3658
'NHL 2006 '		' '	3658
'Night Owl FS-8500 '		'80, 9000 '	' '
'Nintendo Wi-Fi '		'443, 3074 '	3074
'No One Lives Forever '		'2300-2400, 7000-10000 '	27888
'Nomado '		'5060-5065 '	'10000-20000 '
'Nox '		'3840, 4005, 4808, 4810, 4995, 7000-7002 '	'1234-1237 '
'NTP '		123	123
'OfficePax '		'6999-7001 '	' '
'Ojo '		' '	'5010-5017, 5060 '
'OKWin '		'1729-1735 '	' '
'OpenFrame 7 '		'5060-5080 '	'16300-16700 '
'OpenFT '		'1215, 1216 '	'1215, 1216 '
'OpenWengo '		'5060, 10600, 10602 '	'5060, 10600, 10602 '
'Operation Flashpoint '		'2234, 2235 '	'2234, 2235, 2300-2400 '
'Operation Flashpoint 2 - Dragon Rising '		'8080, 9103-9105 '	'8080, 9103-9105 '
'Orb '		'80, 554 '	'13398-13401 '
'OSXvnc '		5900	5900
'Otserv '		'7171, 8000 '	'7171, 8000 '
'Outlaws '		5310	5310
'Outpost 2 Divided Destiny '		' '	47800
'Outpost 2 Divided Destiny Server '		' '	'47776-47807 '
'Overlord '		3074	' '
'PalTalk '		'2090, 2091, 2095 '	'2090, 2091 '
'Panasonic BL-C230A '		80	' '
'pcAnywhere '		5631	5632
'Peer Impact '		2222	2222
'Phantasy Star Universe '		'11000-11001, 11100-11101, 12000-12010 '	' '
'Phoenix RC '		' '	'26500-26505 '
'PhoneFree '		'1034-1035, 2644, 8000 '	'1034-1035, 9900-9901 '
'Piolet '		' '	41170
'Pirate Radio '		8080	' '
'Player Worlds '		7234	7234
'PlayNow '		60260	' '
'PlayStation Network '		'80, 443, 5223 '	'3478-3479, 3658 '
'Point-to-Point Tunneling Protocol '		1723	' '
'Pokemon NetBattle '		30000	' '
'Polycom ViaVideo H.323 '		'1720, 5060 '	'3230-3237, 5060 '
'Pools of Radiance Ruins of Myth Drannor '		'2300-2400, 47624 '	'2300-2400 '
'POP3 '		110	110
'Populous 3 '		' '	7575
'Portmap '		111	111
'PPLive '		8008	4004
'Praetorians '		'2300-2400, 47624 '	'2300-2400, 47624 '
'Prey '		27719	27719
'Pro Evolution Soccer 2011 '		'80, 44, 4000-4200, 6112 '	'5730-5739, 6112 '
'Proliphix '		'80, 8081 '	' '
'Pruna '		4662	4672
'PS3'		5223	'5223, 3478, 3479, 3658 '
'PS3 Call of Duty - Black Ops '		'80-81, 443, 5223, 3074 '	'2005, 3074, 3075, 3478 '
'PS3 Call of Duty - Modern Warfare 2 '		'5223, 3074 '	'2005, 3074, 3075, 3478 '
'PS3 FIFA 10 '		'5223, 6000 '	'5223, 3478, 3479, 3658 '
'PS3 NHL 10 '		'80, 443, 990-9989, 30350-30400, 42100 '	'3478-3479, 3658-3659, 6000, 9820-9880 '
'PS3 NHL 11 '		'80, 443, 990-9989, 30350-30400, 42100 '	'3478-3479, 3658-3659, 6000, 9820-9880 '
'PS3 Pro Evolution Soccer 2011 '		'5000-5200, 6112 '	'3658, 5730-5739, 6112 '
'PS3 Red Dead Redemption '		'5223, 3074 '	'2005, 3074, 3075, 3478 '
'PS3 Remote Play '		9293	' '
'QNAP TS-419P '		'21, 22, 25, 80, 443, 445, 873, 3306, 6000, 6881-6999, 8080, 9000, 13131, 55536-56559 '	' '
'Qnext '		'5235-5236 '	5237
'QSee PCI and PCI-E DVR Cards '		'80, 1159, 1160 '	' '
'QSee QC DVRs '		'80, 37777 '	37778
'QSee QC40198 '		'80, 37777 '	37778
'QSee QC40198-814-5 '		'80, 37777 '	37778
'QSee QC444-426-2 '		'80, 37777 '	' '
'QSee QR DVRs '		'80, 9000 '	' '
'QSee QR208-811-3 '		'80, 9000 '	' '
'QSee QR40198 '		'80, 9000 '	' '
'QSee QR404 '		'80, 9000 '	' '
'QSee QR404-403-3 '		'80, 9000 '	' '
'QSee QR404-403-4 '		'80, 9000 '	' '
'QSee QR404-411-3 '		'80, 9000 '	' '
'QSee QR404-413-3 '		'80, 9000 '	' '
'QSee QR404403 '		'80, 9000 '	' '
'QSee QR4074 '		'80, 9000 '	' '
'QSee QR4074-411-3 '		'80, 9000 '	' '
'QSee QR4074-418-3 '		'80, 9000 '	' '
'QSee QR414-405 '		'80, 9000 '	' '
'QSee QR414-405-3 '		'80, 9000 '	' '
'QSee QR414-411-3 '		'80, 9000 '	' '
'QSee QR4174-411-3 '		'80, 9000 '	' '
'QSee QR4174-418-3 '		'80, 9000 '	' '
'QSee QR424-403-3 '		'80, 9000 '	' '
'QSee QR424-411-3 '		'80, 9000 '	' '
'QSee QR4274-418-3 '		'80, 9000 '	' '
'QSee QS DVRs '		'80, 9000 '	' '
'QSee QSC26404 '		'80, 8000 '	' '
'QSee QSC26416 '		'80, 8000 '	' '
'QSee QSD2216 '		'80, 5000-5001 '	' '
'QSee QSD2216C16-250 '		'80, 5000-5001 '	' '
'Qsee QSD2304C4-250 '		'80, 2000 '	' '
'Qsee QSD2304C4-320 '		'80, 2000 '	' '
'QSee QSD2304L '		'80, 2000 '	' '
'Qsee QSD2308C8-320 '		'80, 2000 '	' '
'Qsee QSD2308C8-500 '		'80, 2000 '	' '
'QSee QSD2308L '		'80, 2000 '	' '
'Qsee QSD2316C16-320 '		'80, 2000 '	' '
'Qsee QSD2316C16-500 '		'80, 2000 '	' '
'Qsee QSD2316C8-320 '		'80, 2000 '	' '
'Qsee QSD2316C8-500 '		'80, 2000 '	' '
'QSee QSD2316L '		'80, 2000 '	' '
'QSee QSD42208 '		'80, 8000 '	' '
'QSee QSD42908 '		'80, 8000 '	' '
'QSee QSD6204 '		80	' '
'QSee QSD6209 '		80	' '
'QSee QSD9004 '		'80, 9000 '	' '
'QSee QSD9004CM-250 '		'80, 9000 '	' '
'QSee QSD9004V '		'80, 9000 '	' '
'QSee QSD9004VW2-320 '		'80, 9000 '	' '
'QSee QSDF8204 '		'80, 2000 '	' '
'QSee QSDR and 9004 DVRs '		'80, 9000 '	' '
'QSee QSDR008RTC '		'80, 9000 '	' '
'QSee QSDR008RTC-500 '		'80, 9000 '	' '
'QSee QSDR04RTC '		'80, 9000 '	' '
'QSee QSDR04RTC-320 '		'80, 9000 '	' '
'QSee QSDR1616GRB-500 '		'80, 9000 '	' '
'QSee QSDR1616GRC-500 '		'80, 9000 '	' '
'QSee QSDR168GRB-500 '		'80, 9000 '	' '
'QSee QSDR168GRTC-500 '		'80, 9000 '	' '
'QSee QSDR16RTC '		'80, 9000 '	' '
'QSee QSDR16RTC-500 '		'80, 9000 '	' '
'QSee QSDR16RTCB '		'80, 9000 '	' '
'QSee QSDR1744LRC-500 '		'80, 9000 '	' '
'QSee QSDR174RTC '		'80, 9000 '	' '
'QSee QSDR4420RC-320 '		'80, 9000 '	' '
'QSee QSDR44DRTC '		'80, 9000 '	' '
'QSee QSDR44DRTM-320 '		'80, 9000 '	' '
'QSee QSDR44KRTC-320 '		'80, 9000 '	' '
'QSee QSDR4V4MRTC '		'80, 9000 '	' '
'QSee QSDR744KRTS-320 '		'80, 9000 '	' '
'QSee QSDR74RTB '		'80, 9000 '	' '
'QSee QSDR74RTC '		'80, 9000 '	' '
'Qsee QSDR74RTS '		'80, 9000 '	' '
'QSee QSDR8V8DRTC-320 '		'80, 9000 '	' '
'QSee QSDT DVRs '		'80, 2000 '	' '
'QSee QSDT4PCRC '		'80, 1159, 1160 '	' '
'Qsee QSDT88GRTC-320 '		'80, 2000 '	' '
'Qsee QSDT8DP '		'80, 2000 '	' '
'QSee QSDT8PCRC '		'80, 1159, 1160 '	' '
'QSee QSPDVR04 '		'80, 1159-1161 '	'80, 1159-1161 '
'QSee QSPDVR16 '		'80, 1159-1161 '	'80, 1159-1161 '
'QSee QSTD DVRs '		'80, 2000 '	' '
'QSee QSTD2408 '		'80, 2000 '	' '
'Qsee QSTD2408C8-320 '		'80, 2000 '	' '
'QSee QSTD2416 '		'80, 2000 '	' '
'Qsee QSTD2416C16-320 '		'80, 2000 '	' '
'Qsee QSTD2416C8-320 '		'80, 2000 '	' '
'Qsee QSTD501616C-500 '		'80, 2000 '	' '
'Qsee QSTD5088C-500 '		'80, 2000 '	' '
'QSee QSTD5304 '		'80, 2000 '	' '
'QSee QSU2DVR04 '		'80, 1159-1161 '	'80, 1159-1161 '
'QSee QT4 QT52X DVRs '		'80, 6036 '	' '
'QSee QT426-811 '		'80, 6036 '	' '
'QSee QT426-811-5 '		'80, 6036 '	' '
'QSee QT428-803 '		'80, 6036 '	' '
'QSee USB DVR Card '		'80, 1159-1161 '	'80, 1159-1161 '
'Quadrox GuardDVR '		'80, 1518 '	'4096-4224 '
'Quadrox GuardNVR '		'80, 1518 '	'4096-4224 '
'Quadrox WebCCTV DVR '		'80, 1518 '	'4096-4224 '
